BEIN,beIN SPORT,392
BIO,Bio,119
BITV,Bloomberg Television,203
BOOM,Boomerang,175
CHILR,Chiller,199
COOK,Cooking Channel,113
AMERI,Destination America,194
DIY,DIY,111
ENCRW,Encore (W),341
EACTN,Encore Action,343
EDRAM,Encore Drama,345
EFAM,Encore Family,347
ELOVE,Encore Love,346
ESUSP,Encore Suspense,344
EWSTN,Encore Westerns,342
EPXDR,EPIX DRIVE-IN,292
FOXS2,Fox Sports 2,398
FOXMO,Fox Movie Channel,384
GAC,Great American Country (GAC),165
H2,H2,121
HMC,Hallmark Movie Channel,187
MIL,Military Channel,195
MPLEX,MoviePlex,377
MUN2,mun2,838
NATGW,Nat Geo WILD,190
NBCSP,NBC Sports Network,159
NICKT,Nicktoons Network,178
OTDCH,Outdoor Channel,396
RURAL,Rural TV,232
SPMAN,Sportsman Channel,395
TENIS,Tennis Channel,400
BLAZE,TheBlaze,212
TMC-W,The Movie Channel (W),329
VERIA,Veria,218
VH1CL,VH1 Classic,163
APL,Animal Planet,184
BBCA,BBC America,184
BET,BET,124
BRAVO,Bravo,129
DISXD,Disney XD,174
ESQNT,Esquire Network,115
FOXB,Fox Business Network,206
FOXS1,Fox Sports 1,150
FXX,FXX,390
G4,G4,191
GLVSN,Galavisión,273
GOLF,Golf Channel,401
GSN,GSN,116
HLMRK,Hallmark Channel,185
ID,Investigation Discovery,192
LMN,Lifetime Movie Network,109
MLBN,MLB Network,152
NTGEO,National Geographic Channel,186
NBATV,NBA TV,156
NFL,NFL Network,154
NHLN,NHL Network,157
NKJR,Nick Jr.,169
NUVO,nuvoTV,243
OVATN,Ovation,245
OWN,OWN: Oprah Winfrey Network,189
OXYGN,Oxygen,127
PAC12,Pac-12 Networks,413
RFDTV,RFD-TV,231
SCI,Science,193
SOAP,SOAPnet,253
SUND,Sundance Channel,358
TNCK,TeenNick,181
HUB,The Hub,179
TRU,truTV,242
TCM,Turner Classic Movies,132
UNIME,UniMÁS (E),271
UNIMW,UniMÁS (W),272
UNVSN,Univisión (E),270
UNVSW,Univisión (W),828
UDEP,Univisión Deportes Network,869
UP,UP,188
WGN,WGN America,239
A&E,A&E,118
ABCFM,ABC Family,180
AMC,AMC,131
ALIVE,America Live,219
ANGEL,Angel One,262
ANGL2,Angel Two,266
AXS,AXS TV,167
BUY!,Buy!,221
TOON,Cartoon Network (E),176
TOONW,Cartoon Network (W),177
CCTVE,CCTV-E,884
CCNEWS,CCTV-News,265
CHRCH,Church Channel,258
CMT,CMT,166
CNBC,CNBC,208
CNN,CNN,200
CMDY,Comedy Central,107
CSPN2,C-SPAN2,211
DYSTR,Daystar,263
DISC,Discovery Channel,182
DISE,Disney Channel (E),172
DISW,Disney Channel (W),173
E!,E! Entertainment Television,114
ESPN,ESPN,140
ESPN2,ESPN2,144
ESNWS,ESPNEWS,142
ESPNU,ESPNU,141
FOOD,Food Network,110
FXNWS,FOX News Channel,205
FUSE,Fuse,164
FX,FX,136
GEMS,Gems & Jewelry TV,229
HGTV,HGTV,112
HIST,History,120
HLN,HLN,202
HRTV,HorseRacing TV,404
HSN,HSN,84
HSN2,HSN2,226
IFC,IFC,133
ICTV,In Country Television,230
INSP,Inspiration Network,259
ION,ION (E),216
IONW,ION (W),217
JTV,Jewelry Television,227
LIFE,Lifetime,108
MALL,Mall,220
MSNBC,MSNBC,209
MTV,MTV,160
MTV2,MTV2,161
NICK,Nick/Nick at Nite (E),170
NICKW,Nick/Nick at Nite (W),171
PIVOT,Pivot,197
PRAYR,Prayer,256
QVC,QVC,137
REELZ,ReelzChannel,299
SALE,Sale,225
SHOP,shop,224
SHNBC,ShopNBC,228
SBN,SonLife Broadcasting Network,257
SPIKE,Spike TV,241
SYFY,Syfy,122
TBS,TBS,139
TLC,TLC,183
TNT,TNT,138
TRV,Travel Channel,196
TVGAM,TV Game Network,405
TVGN,TV Guide Network,117
TVLND,TV Land,106
USA,USA,105
VLCTY,VELOCITY,246
VH1,VH1,162
TWC,Weather Channel,214
WE,WE tv,128
BABY,BabyFirstTV,823
BLOCK,Blockbuster Studio Channel,102
BYUTV,BYUTV,9403
CTN,Christian Television Network,267
ARTS,Classic Arts Showcase,9406
CSPAN,C-SPAN,210
DN101,DISH 101,101
ENLC,Enlace,9411
EWTN,Eternal Word Television,261
PREVW,Free Preview Guide,103
FSTV,Free Speech TV,9415
GOLFR,GOLFR,399
IMPCT,Impact Network,268
KBS,KBS World ,9394
KTV,Kids & Teens Television (KTV) ,264
LINK,Link TV ,9410
NASA,NASA,286
ONPPV,Pay-Per-View Guide,500
PNTGN,Pentagon ,9405
TBN,TBN ,260
3ABN,Three Angels Broadcasting Network,9393
VME,V-ME,846
